Percentile;Year;"sptinc_z_QB Pre-tax national income Top 10% | share Africa";"sptinc_z_QD Pre-tax national income Top 10% | share Asia";"sptinc_z_XL Pre-tax national income Top 10% | share Latin America";"sptinc_z_QE Pre-tax national income Top 10% | share Europe";"sptinc_z_XM Pre-tax national income Top 10% | share Middle East";"sptinc_z_QF Pre-tax national income Top 10% | share Oceania";"sptinc_z_QP Pre-tax national income Top 10% | share North America"
p90p100;1820;;;0.5405;0.4845;;0.4429;0.4221
p90p100;1821;;;;;;;
p90p100;1822;;;;;;;
p90p100;1823;;;;;;;
p90p100;1824;;;;;;;
p90p100;1825;;;;;;;
p90p100;1826;;;;;;;
p90p100;1827;;;;;;;
p90p100;1828;;;;;;;
p90p100;1829;;;;;;;
p90p100;1830;;;;;;;
p90p100;1831;;;;;;;
p90p100;1832;;;;;;;
p90p100;1833;;;;;;;
p90p100;1834;;;;;;;
p90p100;1835;;;;;;;
p90p100;1836;;;;;;;
p90p100;1837;;;;;;;
p90p100;1838;;;;;;;
p90p100;1839;;;;;;;
p90p100;1840;;;;;;;
p90p100;1841;;;;;;;
p90p100;1842;;;;;;;
p90p100;1843;;;;;;;
p90p100;1844;;;;;;;
p90p100;1845;;;;;;;
p90p100;1846;;;;;;;
p90p100;1847;;;;;;;
p90p100;1848;;;;;;;
p90p100;1849;;;;;;;
p90p100;1850;;;0.5425;0.4929;;0.4503;0.4479
p90p100;1851;;;;;;;
p90p100;1852;;;;;;;
p90p100;1853;;;;;;;
p90p100;1854;;;;;;;
p90p100;1855;;;;;;;
p90p100;1856;;;;;;;
p90p100;1857;;;;;;;
p90p100;1858;;;;;;;
p90p100;1859;;;;;;;
p90p100;1860;;;;;;;
p90p100;1861;;;;;;;
p90p100;1862;;;;;;;
p90p100;1863;;;;;;;
p90p100;1864;;;;;;;
p90p100;1865;;;;;;;
p90p100;1866;;;;;;;
p90p100;1867;;;;;;;
p90p100;1868;;;;;;;
p90p100;1869;;;;;;;
p90p100;1870;;;;;;;
p90p100;1871;;;;;;;
p90p100;1872;;;;;;;
p90p100;1873;;;;;;;
p90p100;1874;;;;;;;
p90p100;1875;;;;;;;
p90p100;1876;;;;;;;
p90p100;1877;;;;;;;
p90p100;1878;;;;;;;
p90p100;1879;;;;;;;
p90p100;1880;;;0.5452;0.4932;;0.4447;0.3806
p90p100;1881;;;;;;;
p90p100;1882;;;;;;;
p90p100;1883;;;;;;;
p90p100;1884;;;;;;;
p90p100;1885;;;;;;;
p90p100;1886;;;;;;;
p90p100;1887;;;;;;;
p90p100;1888;;;;;;;
p90p100;1889;;;;;;;
p90p100;1890;;;;;;;
p90p100;1891;;;;;;;
p90p100;1892;;;;;;;
p90p100;1893;;;;;;;
p90p100;1894;;;;;;;
p90p100;1895;;;;;;;
p90p100;1896;;;;;;;
p90p100;1897;;;;;;;
p90p100;1898;;;;;;;
p90p100;1899;;;;;;;
p90p100;1900;;;0.5531;0.5229;;0.4924;0.3988
p90p100;1901;;;;;;;
p90p100;1902;;;;;;;
p90p100;1903;;;;;;;
p90p100;1904;;;;;;;
p90p100;1905;;;;;;;
p90p100;1906;;;;;;;
p90p100;1907;;;;;;;
p90p100;1908;;;;;;;
p90p100;1909;;;;;;;
p90p100;1910;;;0.5662;0.5147;;0.4937;0.4281
p90p100;1911;;;;;;;
p90p100;1912;;;;;;;
p90p100;1913;;;;;;;
p90p100;1914;;;;;;;
p90p100;1915;;;;;;;
p90p100;1916;;;;;;;
p90p100;1917;;;;;;;
p90p100;1918;;;;;;;
p90p100;1919;;;;;;;
p90p100;1920;;;0.5626;0.4538;;0.3726;0.4367
p90p100;1921;;;;;;;
p90p100;1922;;;;;;;
p90p100;1923;;;;;;;
p90p100;1924;;;;;;;
p90p100;1925;;;;;;;
p90p100;1926;;;;;;;
p90p100;1927;;;;;;;
p90p100;1928;;;;;;;
p90p100;1929;;;;;;;
p90p100;1930;;;0.5694;0.3692;;0.3541;0.4589
p90p100;1931;;;;;;;
p90p100;1932;;;;;;;
p90p100;1933;;;;;;;
p90p100;1934;;;;;;;
p90p100;1935;;;;;;;
p90p100;1936;;;;;;;
p90p100;1937;;;;;;;
p90p100;1938;;;;;;;
p90p100;1939;;;;;;;
p90p100;1940;;;0.5794;0.3941;;0.3428;0.485
p90p100;1941;;;;;;;
p90p100;1942;;;;;;;
p90p100;1943;;;;;;;
p90p100;1944;;;;;;;
p90p100;1945;;;;;;;
p90p100;1946;;;;;;;
p90p100;1947;;;;;;;
p90p100;1948;;;;;;;
p90p100;1949;;;;;;;
p90p100;1950;;;0.5661;0.342;;0.3529;0.3841
p90p100;1951;;;;;;;
p90p100;1952;;;;;;;
p90p100;1953;;;;;;;
p90p100;1954;;;;;;;
p90p100;1955;;;;;;;
p90p100;1956;;;;;;;
p90p100;1957;;;;;;;
p90p100;1958;;;;;;;
p90p100;1959;;;;;;;
p90p100;1960;;;0.5446;0.3407;;0.2974;0.3512
p90p100;1961;;;;;;;
p90p100;1962;;;;;;;
p90p100;1963;;;;;;;
p90p100;1964;;;;;;;
p90p100;1965;;;;;;;
p90p100;1966;;;;;;;
p90p100;1967;;;;;;;
p90p100;1968;;;;;;;
p90p100;1969;;;;;;;
p90p100;1970;;;0.5558;0.3115;;0.2787;0.3388
p90p100;1971;;;;;;;
p90p100;1972;;;;;;;
p90p100;1973;;;;;;;
p90p100;1974;;;;;;;
p90p100;1975;;;;;;;
p90p100;1976;;;;;;;
p90p100;1977;;;;;;;
p90p100;1978;;;;;;;
p90p100;1979;;;;;;;
p90p100;1980;0.5856;0.5826;0.5743;0.3169;0.7179;0.2769;0.3349
p90p100;1981;0.5797;0.5788;0.5775;0.3139;0.7159;0.2793;0.3397
p90p100;1982;0.5788;0.5671;0.5761;0.3118;0.6834;0.2799;0.3427
p90p100;1983;0.5807;0.5632;0.5743;0.3133;0.6654;0.2869;0.3508
p90p100;1984;0.5819;0.5558;0.5752;0.3156;0.6541;0.2873;0.3622
p90p100;1985;0.5812;0.5553;0.576;0.3176;0.6447;0.283;0.3631
p90p100;1986;0.5746;0.5566;0.5748;0.3206;0.654;0.2885;0.3609
p90p100;1987;0.5704;0.5504;0.5757;0.3255;0.6394;0.3019;0.3718
p90p100;1988;0.571;0.5553;0.5732;0.333;0.6416;0.3178;0.3895
p90p100;1989;0.5705;0.5582;0.5789;0.3366;0.6382;0.3026;0.384
p90p100;1990;0.5694;0.5588;0.5774;0.3429;0.6339;0.3015;0.3855
p90p100;1991;0.5739;0.5602;0.5767;0.3468;0.6462;0.3237;0.3826
p90p100;1992;0.5717;0.5578;0.5756;0.3485;0.6405;0.3238;0.3936
p90p100;1993;0.5639;0.5542;0.5826;0.3524;0.6324;0.3306;0.3903
p90p100;1994;0.5628;0.5561;0.582;0.3552;0.6302;0.3351;0.391
p90p100;1995;0.5599;0.5515;0.5787;0.3571;0.6274;0.3406;0.3985
p90p100;1996;0.5623;0.5555;0.5772;0.3599;0.6252;0.3386;0.4074
p90p100;1997;0.5658;0.5499;0.5794;0.3636;0.6254;0.337;0.4146
p90p100;1998;0.5662;0.5456;0.5822;0.3674;0.6201;0.3477;0.4184
p90p100;1999;0.5711;0.5431;0.5822;0.3697;0.616;0.3485;0.4221
p90p100;2000;0.5735;0.5448;0.5833;0.3707;0.6137;0.3507;0.427
p90p100;2001;0.5726;0.5444;0.5872;0.3701;0.6107;0.3523;0.4191
p90p100;2002;0.5702;0.5434;0.5916;0.3679;0.6064;0.3615;0.4144
p90p100;2003;0.5708;0.5465;0.5932;0.3683;0.6114;0.3613;0.415
p90p100;2004;0.5682;0.5454;0.588;0.3699;0.6092;0.3683;0.4229
p90p100;2005;0.5689;0.5449;0.5919;0.3723;0.6032;0.3709;0.4342
p90p100;2006;0.5684;0.5432;0.592;0.3726;0.5973;0.3709;0.4415
p90p100;2007;0.5706;0.5402;0.5952;0.3781;0.5889;0.3726;0.4389
p90p100;2008;0.5643;0.5384;0.5972;0.3669;0.5869;0.3759;0.4342
p90p100;2009;0.5581;0.5266;0.5865;0.3647;0.5814;0.3857;0.4234
p90p100;2010;0.5553;0.5228;0.5876;0.3635;0.5766;0.3825;0.4378
p90p100;2011;0.5477;0.5247;0.5907;0.3645;0.5777;0.3857;0.441
p90p100;2012;0.5574;0.5163;0.5831;0.3656;0.5781;0.3868;0.4537
p90p100;2013;0.5539;0.5157;0.5811;0.3707;0.5771;0.3858;0.4474
p90p100;2014;0.5499;0.5111;0.578;0.37;0.5828;0.3866;0.4536
p90p100;2015;0.5494;0.5116;0.5825;0.3687;0.5839;0.3832;0.4539
p90p100;2016;0.5481;0.5092;0.5825;0.3681;0.5809;0.3765;0.4509
p90p100;2017;0.5483;0.5108;0.5836;0.3681;0.5785;0.3808;0.4531
p90p100;2018;0.5476;0.5075;0.5869;0.3666;0.5817;0.3796;0.4562
p90p100;2019;0.5451;0.5038;0.5818;0.3705;0.5745;0.3724;0.4561
p90p100;2020;0.5426;0.5098;0.5944;0.3714;0.5747;0.3801;0.4437
p90p100;2021;0.5461;0.5109;0.5807;0.3562;0.5709;0.3747;0.4555
p90p100;2022;0.5466;0.511;0.5789;0.3565;0.5738;0.3753;0.4556
p0p50;1820;;;0.1104;0.1356;;0.1381;0.1304
p0p50;1821;;;;;;;
p0p50;1822;;;;;;;
p0p50;1823;;;;;;;
p0p50;1824;;;;;;;
p0p50;1825;;;;;;;
p0p50;1826;;;;;;;
p0p50;1827;;;;;;;
p0p50;1828;;;;;;;
p0p50;1829;;;;;;;
p0p50;1830;;;;;;;
p0p50;1831;;;;;;;
p0p50;1832;;;;;;;
p0p50;1833;;;;;;;
p0p50;1834;;;;;;;
p0p50;1835;;;;;;;
p0p50;1836;;;;;;;
p0p50;1837;;;;;;;
p0p50;1838;;;;;;;
p0p50;1839;;;;;;;
p0p50;1840;;;;;;;
p0p50;1841;;;;;;;
p0p50;1842;;;;;;;
p0p50;1843;;;;;;;
p0p50;1844;;;;;;;
p0p50;1845;;;;;;;
p0p50;1846;;;;;;;
p0p50;1847;;;;;;;
p0p50;1848;;;;;;;
p0p50;1849;;;;;;;
p0p50;1850;;;0.1102;0.1332;;0.139;0.1052
p0p50;1851;;;;;;;
p0p50;1852;;;;;;;
p0p50;1853;;;;;;;
p0p50;1854;;;;;;;
p0p50;1855;;;;;;;
p0p50;1856;;;;;;;
p0p50;1857;;;;;;;
p0p50;1858;;;;;;;
p0p50;1859;;;;;;;
p0p50;1860;;;;;;;
p0p50;1861;;;;;;;
p0p50;1862;;;;;;;
p0p50;1863;;;;;;;
p0p50;1864;;;;;;;
p0p50;1865;;;;;;;
p0p50;1866;;;;;;;
p0p50;1867;;;;;;;
p0p50;1868;;;;;;;
p0p50;1869;;;;;;;
p0p50;1870;;;;;;;
p0p50;1871;;;;;;;
p0p50;1872;;;;;;;
p0p50;1873;;;;;;;
p0p50;1874;;;;;;;
p0p50;1875;;;;;;;
p0p50;1876;;;;;;;
p0p50;1877;;;;;;;
p0p50;1878;;;;;;;
p0p50;1879;;;;;;;
p0p50;1880;;;0.1096;0.1457;;0.1355;0.1386
p0p50;1881;;;;;;;
p0p50;1882;;;;;;;
p0p50;1883;;;;;;;
p0p50;1884;;;;;;;
p0p50;1885;;;;;;;
p0p50;1886;;;;;;;
p0p50;1887;;;;;;;
p0p50;1888;;;;;;;
p0p50;1889;;;;;;;
p0p50;1890;;;;;;;
p0p50;1891;;;;;;;
p0p50;1892;;;;;;;
p0p50;1893;;;;;;;
p0p50;1894;;;;;;;
p0p50;1895;;;;;;;
p0p50;1896;;;;;;;
p0p50;1897;;;;;;;
p0p50;1898;;;;;;;
p0p50;1899;;;;;;;
p0p50;1900;;;0.0985;0.1366;;0.1283;0.1359
p0p50;1901;;;;;;;
p0p50;1902;;;;;;;
p0p50;1903;;;;;;;
p0p50;1904;;;;;;;
p0p50;1905;;;;;;;
p0p50;1906;;;;;;;
p0p50;1907;;;;;;;
p0p50;1908;;;;;;;
p0p50;1909;;;;;;;
p0p50;1910;;;0.092;0.1243;;0.1244;0.1411
p0p50;1911;;;;;;;
p0p50;1912;;;;;;;
p0p50;1913;;;;;;;
p0p50;1914;;;;;;;
p0p50;1915;;;;;;;
p0p50;1916;;;;;;;
p0p50;1917;;;;;;;
p0p50;1918;;;;;;;
p0p50;1919;;;;;;;
p0p50;1920;;;0.0973;0.1329;;0.1474;0.1411
p0p50;1921;;;;;;;
p0p50;1922;;;;;;;
p0p50;1923;;;;;;;
p0p50;1924;;;;;;;
p0p50;1925;;;;;;;
p0p50;1926;;;;;;;
p0p50;1927;;;;;;;
p0p50;1928;;;;;;;
p0p50;1929;;;;;;;
p0p50;1930;;;0.0953;0.1687;;0.1564;0.1349
p0p50;1931;;;;;;;
p0p50;1932;;;;;;;
p0p50;1933;;;;;;;
p0p50;1934;;;;;;;
p0p50;1935;;;;;;;
p0p50;1936;;;;;;;
p0p50;1937;;;;;;;
p0p50;1938;;;;;;;
p0p50;1939;;;;;;;
p0p50;1940;;;0.0943;0.1847;;0.1709;0.1345
p0p50;1941;;;;;;;
p0p50;1942;;;;;;;
p0p50;1943;;;;;;;
p0p50;1944;;;;;;;
p0p50;1945;;;;;;;
p0p50;1946;;;;;;;
p0p50;1947;;;;;;;
p0p50;1948;;;;;;;
p0p50;1949;;;;;;;
p0p50;1950;;;0.1003;0.1998;;0.1585;0.1695
p0p50;1951;;;;;;;
p0p50;1952;;;;;;;
p0p50;1953;;;;;;;
p0p50;1954;;;;;;;
p0p50;1955;;;;;;;
p0p50;1956;;;;;;;
p0p50;1957;;;;;;;
p0p50;1958;;;;;;;
p0p50;1959;;;;;;;
p0p50;1960;;;0.1066;0.1907;;0.17;0.1755
p0p50;1961;;;;;;;
p0p50;1962;;;;;;;
p0p50;1963;;;;;;;
p0p50;1964;;;;;;;
p0p50;1965;;;;;;;
p0p50;1966;;;;;;;
p0p50;1967;;;;;;;
p0p50;1968;;;;;;;
p0p50;1969;;;;;;;
p0p50;1970;;;0.1037;0.2017;;0.1752;0.1692
p0p50;1971;;;;;;;
p0p50;1972;;;;;;;
p0p50;1973;;;;;;;
p0p50;1974;;;;;;;
p0p50;1975;;;;;;;
p0p50;1976;;;;;;;
p0p50;1977;;;;;;;
p0p50;1978;;;;;;;
p0p50;1979;;;;;;;
p0p50;1980;0.0701;0.0852;0.0759;0.1937;0.0577;0.1489;0.1969
p0p50;1981;0.0719;0.0872;0.0751;0.193;0.0588;0.1474;0.1929
p0p50;1982;0.0726;0.0904;0.0749;0.1857;0.0663;0.1456;0.1876
p0p50;1983;0.0716;0.0902;0.0749;0.1932;0.0705;0.1458;0.1798
p0p50;1984;0.0694;0.0942;0.0748;0.1932;0.0739;0.1455;0.1761
p0p50;1985;0.0698;0.0943;0.075;0.1912;0.077;0.146;0.1748
p0p50;1986;0.0712;0.0925;0.0753;0.1921;0.0742;0.1436;0.1726
p0p50;1987;0.0713;0.0937;0.0753;0.1932;0.0786;0.1408;0.1702
p0p50;1988;0.0706;0.0917;0.0757;0.1905;0.0778;0.1375;0.1655
p0p50;1989;0.0698;0.0912;0.0751;0.1863;0.079;0.1408;0.1668
p0p50;1990;0.0694;0.0919;0.0752;0.1783;0.0811;0.138;0.1653
p0p50;1991;0.0678;0.0902;0.0752;0.1717;0.0755;0.1391;0.1612
p0p50;1992;0.0669;0.0921;0.0748;0.1662;0.0774;0.1406;0.1535
p0p50;1993;0.0681;0.0935;0.0732;0.1638;0.0804;0.1384;0.1546
p0p50;1994;0.0674;0.0954;0.0732;0.1638;0.0814;0.1363;0.1547
p0p50;1995;0.0685;0.0989;0.0747;0.1623;0.0818;0.1348;0.1511
p0p50;1996;0.0693;0.0991;0.0746;0.1641;0.0817;0.1364;0.1486
p0p50;1997;0.0694;0.1021;0.0737;0.1633;0.0812;0.1318;0.1464
p0p50;1998;0.0702;0.1051;0.0731;0.162;0.0828;0.1249;0.1465
p0p50;1999;0.0709;0.105;0.0728;0.1601;0.0841;0.1283;0.1456
p0p50;2000;0.07;0.1029;0.0729;0.1602;0.0846;0.1278;0.1444
p0p50;2001;0.0701;0.1014;0.0708;0.1614;0.0858;0.1316;0.1466
p0p50;2002;0.0702;0.0996;0.0712;0.1625;0.0868;0.123;0.1475
p0p50;2003;0.0706;0.0971;0.0736;0.1605;0.0835;0.1256;0.1448
p0p50;2004;0.0716;0.0968;0.0757;0.1499;0.0842;0.1246;0.142
p0p50;2005;0.072;0.0945;0.0751;0.1634;0.0842;0.121;0.1382
p0p50;2006;0.0723;0.0948;0.0764;0.1618;0.0849;0.127;0.1351
p0p50;2007;0.0721;0.094;0.0775;0.163;0.0877;0.1254;0.1377
p0p50;2008;0.0736;0.0945;0.0779;0.1688;0.0897;0.1244;0.1376
p0p50;2009;0.0748;0.0965;0.0799;0.1686;0.0939;0.1207;0.1378
p0p50;2010;0.0756;0.0956;0.0808;0.1689;0.0958;0.1204;0.1333
p0p50;2011;0.0783;0.0952;0.0804;0.1689;0.0934;0.1209;0.1317
p0p50;2012;0.0772;0.096;0.0826;0.1686;0.0921;0.1187;0.129
p0p50;2013;0.0777;0.0957;0.0832;0.1669;0.092;0.1166;0.1313
p0p50;2014;0.079;0.0956;0.0844;0.169;0.0908;0.1182;0.1288
p0p50;2015;0.0793;0.0964;0.0828;0.169;0.0891;0.116;0.1278
p0p50;2016;0.0793;0.0957;0.0806;0.1717;0.0881;0.1171;0.1277
p0p50;2017;0.0799;0.0957;0.0788;0.1742;0.0881;0.1163;0.1306
p0p50;2018;0.0808;0.0959;0.0772;0.1749;0.0863;0.1166;0.13
p0p50;2019;0.0817;0.096;0.0772;0.1731;0.0879;0.1138;0.1309
p0p50;2020;0.0824;0.094;0.0648;0.1726;0.0887;0.1123;0.1332
p0p50;2021;0.0817;0.0929;0.0701;0.1755;0.0878;0.1095;0.1328
p0p50;2022;0.0815;0.0937;0.0743;0.1753;0.0865;0.1084;0.1328
p99p100;1820;;;0.2332;0.2164;;0.1587;0.1614
p99p100;1821;;;;;;;
p99p100;1822;;;;;;;
p99p100;1823;;;;;;;
p99p100;1824;;;;;;;
p99p100;1825;;;;;;;
p99p100;1826;;;;;;;
p99p100;1827;;;;;;;
p99p100;1828;;;;;;;
p99p100;1829;;;;;;;
p99p100;1830;;;;;;;
p99p100;1831;;;;;;;
p99p100;1832;;;;;;;
p99p100;1833;;;;;;;
p99p100;1834;;;;;;;
p99p100;1835;;;;;;;
p99p100;1836;;;;;;;
p99p100;1837;;;;;;;
p99p100;1838;;;;;;;
p99p100;1839;;;;;;;
p99p100;1840;;;;;;;
p99p100;1841;;;;;;;
p99p100;1842;;;;;;;
p99p100;1843;;;;;;;
p99p100;1844;;;;;;;
p99p100;1845;;;;;;;
p99p100;1846;;;;;;;
p99p100;1847;;;;;;;
p99p100;1848;;;;;;;
p99p100;1849;;;;;;;
p99p100;1850;;;0.2324;0.2223;;0.1519;0.1685
p99p100;1851;;;;;;;
p99p100;1852;;;;;;;
p99p100;1853;;;;;;;
p99p100;1854;;;;;;;
p99p100;1855;;;;;;;
p99p100;1856;;;;;;;
p99p100;1857;;;;;;;
p99p100;1858;;;;;;;
p99p100;1859;;;;;;;
p99p100;1860;;;;;;;
p99p100;1861;;;;;;;
p99p100;1862;;;;;;;
p99p100;1863;;;;;;;
p99p100;1864;;;;;;;
p99p100;1865;;;;;;;
p99p100;1866;;;;;;;
p99p100;1867;;;;;;;
p99p100;1868;;;;;;;
p99p100;1869;;;;;;;
p99p100;1870;;;;;;;
p99p100;1871;;;;;;;
p99p100;1872;;;;;;;
p99p100;1873;;;;;;;
p99p100;1874;;;;;;;
p99p100;1875;;;;;;;
p99p100;1876;;;;;;;
p99p100;1877;;;;;;;
p99p100;1878;;;;;;;
p99p100;1879;;;;;;;
p99p100;1880;;;0.2322;0.2197;;0.1491;0.1181
p99p100;1881;;;;;;;
p99p100;1882;;;;;;;
p99p100;1883;;;;;;;
p99p100;1884;;;;;;;
p99p100;1885;;;;;;;
p99p100;1886;;;;;;;
p99p100;1887;;;;;;;
p99p100;1888;;;;;;;
p99p100;1889;;;;;;;
p99p100;1890;;;;;;;
p99p100;1891;;;;;;;
p99p100;1892;;;;;;;
p99p100;1893;;;;;;;
p99p100;1894;;;;;;;
p99p100;1895;;;;;;;
p99p100;1896;;;;;;;
p99p100;1897;;;;;;;
p99p100;1898;;;;;;;
p99p100;1899;;;;;;;
p99p100;1900;;;0.2346;0.2552;;0.1642;0.154
p99p100;1901;;;;;;;
p99p100;1902;;;;;;;
p99p100;1903;;;;;;;
p99p100;1904;;;;;;;
p99p100;1905;;;;;;;
p99p100;1906;;;;;;;
p99p100;1907;;;;;;;
p99p100;1908;;;;;;;
p99p100;1909;;;;;;;
p99p100;1910;;;0.2407;0.2555;;0.1655;0.1986
p99p100;1911;;;;;;;
p99p100;1912;;;;;;;
p99p100;1913;;;;;;;
p99p100;1914;;;;;;;
p99p100;1915;;;;;;;
p99p100;1916;;;;;;;
p99p100;1917;;;;;;;
p99p100;1918;;;;;;;
p99p100;1919;;;;;;;
p99p100;1920;;;0.239;0.2115;;0.1426;0.1874
p99p100;1921;;;;;;;
p99p100;1922;;;;;;;
p99p100;1923;;;;;;;
p99p100;1924;;;;;;;
p99p100;1925;;;;;;;
p99p100;1926;;;;;;;
p99p100;1927;;;;;;;
p99p100;1928;;;;;;;
p99p100;1929;;;;;;;
p99p100;1930;;;0.25;0.1549;;0.1351;0.1906
p99p100;1931;;;;;;;
p99p100;1932;;;;;;;
p99p100;1933;;;;;;;
p99p100;1934;;;;;;;
p99p100;1935;;;;;;;
p99p100;1936;;;;;;;
p99p100;1937;;;;;;;
p99p100;1938;;;;;;;
p99p100;1939;;;;;;;
p99p100;1940;;;0.2679;0.1517;;0.1279;0.2038
p99p100;1941;;;;;;;
p99p100;1942;;;;;;;
p99p100;1943;;;;;;;
p99p100;1944;;;;;;;
p99p100;1945;;;;;;;
p99p100;1946;;;;;;;
p99p100;1947;;;;;;;
p99p100;1948;;;;;;;
p99p100;1949;;;;;;;
p99p100;1950;;;0.2448;0.1116;;0.171;0.161
p99p100;1951;;;;;;;
p99p100;1952;;;;;;;
p99p100;1953;;;;;;;
p99p100;1954;;;;;;;
p99p100;1955;;;;;;;
p99p100;1956;;;;;;;
p99p100;1957;;;;;;;
p99p100;1958;;;;;;;
p99p100;1959;;;;;;;
p99p100;1960;;;0.2034;0.1087;;0.0866;0.1227
p99p100;1961;;;;;;;
p99p100;1962;;;;;;;
p99p100;1963;;;;;;;
p99p100;1964;;;;;;;
p99p100;1965;;;;;;;
p99p100;1966;;;;;;;
p99p100;1967;;;;;;;
p99p100;1968;;;;;;;
p99p100;1969;;;;;;;
p99p100;1970;;;0.2213;0.0912;;0.0753;0.1075
p99p100;1971;;;;;;;
p99p100;1972;;;;;;;
p99p100;1973;;;;;;;
p99p100;1974;;;;;;;
p99p100;1975;;;;;;;
p99p100;1976;;;;;;;
